GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
eagroservice,com.eagro.service.utils,ResponseUtil,22,0,0,0,3,0,3,0,3,0
eagroservice,com.eagro.service.utils,HeaderUtil,82,0,0,0,13,0,6,0,6,0
eagroservice,com.eagro.security,UserNotActivatedException,9,0,0,0,4,0,2,0,2,0
eagroservice,com.eagro.security,SecurityUtils,99,0,4,0,23,0,13,0,11,0
eagroservice,com.eagro.service.exception,BadRequestAlertException,54,0,0,0,12,0,5,0,5,0
eagroservice,com.eagro.service.exception,LoginAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
eagroservice,com.eagro.service.exception,CustomParameterizedException,67,0,6,0,13,0,7,0,4,0
eagroservice,com.eagro.service.exception,InternalServerErrorException,6,0,0,0,2,0,1,0,1,0
eagroservice,com.eagro.service.exception,InvalidPasswordException,6,0,0,0,2,0,1,0,1,0
eagroservice,com.eagro.service.exception,ErrorConstants,22,0,0,0,7,0,1,0,1,0
eagroservice,com.eagro.service.exception,ExceptionTranslator,148,0,16,0,30,0,12,0,4,0
eagroservice,com.eagro.config,SwaggerConfiguration,68,0,0,0,6,0,3,0,3,0
eagroservice,com.eagro.config,DefaultProfileUtil,24,0,2,0,8,0,3,0,2,0
eagroservice,com.eagro.service.dto,LayoutResponseDTO,473,0,32,0,105,0,55,0,39,0
eagroservice,com.eagro.service.dto,SegmentsResponseDTO,386,0,26,0,86,0,45,0,32,0
eagroservice,com.eagro.service.dto,SensorDTO,205,0,10,0,61,0,35,0,30,0
eagroservice,com.eagro.service.dto,UserLayoutMappingDTO,127,0,10,0,35,0,21,0,16,0
eagroservice,com.eagro.service.dto,SegmentDTO,231,0,10,0,71,0,41,0,36,0
eagroservice,com.eagro.service.dto,LayoutDTO,191,0,10,0,55,0,31,0,26,0
eagroservice,com.eagro.service.dto,SensorCoverageRangeDTO,203,0,10,0,63,0,37,0,32,0
eagroservice,com.eagro.service.dto,UserRoleDTO,162,0,10,0,46,0,27,0,22,0
eagroservice,com.eagro.service.dto,SectionDTO,217,0,10,0,65,0,37,0,32,0
eagroservice,com.eagro.service.dto,UserDTO,223,0,10,0,63,0,35,0,30,0
eagroservice,com.eagro.service.dto,KPIDTO,245,0,10,0,75,0,43,0,38,0
eagroservice,com.eagro.service.dto,SectionsResponseDTO,401,0,28,0,90,0,47,0,33,0
eagroservice,com.eagro.service.dto,SectionSensorMappingDTO,179,0,10,0,55,0,33,0,28,0
